timestamp,price,volume,market_cap
2024-11-30 01:02:59.055,97014.26142121738,73093962538.2185,1919706944316.5798
2024-11-30 02:02:12.871,96605.38061704171,64603373905.222305,1911257028502.2185
2024-11-30 03:04:10.716,96633.35340970031,68965997726.27968,1912283905548.7197
2024-11-30 04:07:05.781,96758.51951096501,72633950819.03735,1914915099809.3872
2024-11-30 05:16:13.503,96810.70779402187,74079473678.96399,1915313112714.093
2024-11-30 06:14:27.673,97201.81169262696,70102582980.86607,1922018817680.679
2024-11-30 07:02:38.600,96638.46548783808,75610781854.52301,1912722591022.1824
2024-11-30 08:14:55.355,96755.02015382673,62296997666.01673,1914688670571.1768
2024-11-30 09:12:09.500,96771.49042272137,76092605151.84586,1915375992472.6208
2024-11-30 10:16:11.345,96816.44177566814,74355289326.85902,1916514162144.2827
2024-11-30 11:17:57.045,96325.09800019009,73936102490.62585,1906400313293.6672
2024-11-30 12:03:50.031,96295.48312358867,67072574926.33068,1905325479357.0469
2024-11-30 13:11:17.731,96601.05864452482,66330778458.82607,1911708658524.743
2024-11-30 14:15:59.578,96635.48311038042,61836261412.11006,1912176722890.6484
2024-11-30 15:08:33.571,96651.85454010883,64290635892.350655,1912629741214.0454
2024-11-30 16:09:07.672,96722.49267809853,55688693025.84322,1913276226192.6052
2024-11-30 17:09:29.468,96992.65771016199,46970270733.01541,1919373413776.9854
2024-11-30 18:10:16.773,96921.35645358218,50920241299.62563,1915815321134.645
2024-11-30 19:10:40.825,97025.20112983785,48925811938.471085,1919030588309.4758
2024-11-30 20:04:55.239,97062.34005073737,45950133054.67709,1921246705952.0498
2024-11-30 21:03:42.562,97019.0839291062,43608473974.94958,1919881200575.747
2024-11-30 22:12:30.999,96843.66127689845,42581305767.848305,1916733638186.402
2024-11-30 23:02:13.260,96383.40831265219,45492541485.103096,1908577775423.5476
2024-12-01 00:03:26.710,96449.75251537087,44074605764.20043,1908714785798.536
2024-12-01 01:08:43.760,96368.41659629214,36663773736.82675,1907335728828.3599
2024-12-01 02:06:11.230,96183.53865621796,44198498649.13229,1904309539552.927
2024-12-01 03:00:51.091,96004.87965292303,45396046584.242874,1899772202078.6304
2024-12-01 04:06:19.681,96339.41109037622,28725530423.85421,1906716613033.6768
2024-12-01 05:14:18.950,96446.42789147947,43699531973.067314,1909297620969.7686
2024-12-01 06:04:34.626,96343.52129085963,46547553127.33428,1907016780185.8015
2024-12-01 07:11:04.561,96390.74142074569,42710046549.15261,1907179416676.3923
2024-12-01 08:09:26.047,96571.30824363836,41931644444.25615,1910871254451.0415
2024-12-01 09:02:32.987,97102.02262487802,40514179749.17263,1921286657256.926
2024-12-01 10:13:02.693,96931.6481377739,28625614052.058426,1917960093314.0422
2024-12-01 11:06:57.104,97002.85526437357,43761993243.9717,1918697057981.503
2024-12-01 12:17:09.977,97134.4449430997,41016706553.145515,1922722087707.4016
2024-12-01 13:13:23.923,97038.9439813737,44637173162.65932,1917599649754.1816
2024-12-01 14:08:25.993,97174.15248879559,44516729003.01429,1922589891388.9072
2024-12-01 15:00:45.230,97326.08031323279,30685278241.962902,1926000151961.619
